note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
1726977,Niger,13.5683000,2.0747000,2019-03-28 00:00:00,2019-05-05 02:43:49,0,Unknown,Point 2,4,1,freebeer,no info
1726987,Niger,13.5583000,2.0621000,2019-03-28 00:00:00,2019-05-05 02:36:51,0,Unknown,Point 2,2,0,freebeer,no info
1726981,Niger,13.5556000,2.0725000,2019-03-28 00:00:00,2019-05-05 02:36:15,0,Unknown,Point 2,2,0,freebeer,no info
1726988,Niger,13.5539000,2.0621000,2019-03-28 00:00:00,2019-05-05 02:35:44,0,Unknown,Point 2,2,0,freebeer,no info
1726955,Niger,13.5463000,2.0601000,2019-03-28 00:00:00,2019-05-05 02:35:10,0,Unknown,Point 2,2,0,freebeer,no info
1726964,Niger,13.5426000,2.0613000,2019-03-28 00:00:00,2019-05-05 02:34:38,0,Unknown,Point 2,2,0,freebeer,no info
1726965,Niger,13.5389000,2.0625000,2019-03-28 00:00:00,2019-05-05 02:34:19,0,Unknown,Point 2,2,0,freebeer,no info
1726936,Niger,13.5330000,2.0583000,2019-03-28 00:00:00,2019-05-05 02:33:47,0,Unknown,Point 3,2,0,freebeer,no info
1726967,Niger,13.5312000,2.0570000,2019-03-28 00:00:00,2019-05-05 02:33:21,0,Unknown,Point 2,2,0,freebeer,no info
1726934,Niger,13.5248000,2.0594000,2019-03-28 00:00:00,2019-05-05 02:32:53,0,Unknown,Point1,2,0,freebeer,no info
1726966,Niger,13.5245000,2.0562000,2019-03-28 00:00:00,2019-05-05 02:32:25,0,Unknown,Point 2,2,0,freebeer,no info
1726935,Niger,13.5252000,2.0535000,2019-03-28 00:00:00,2019-05-05 02:31:24,0,Unknown,Point 2,2,0,freebeer,no info
1726938,Niger,13.5302000,2.0457000,2019-03-28 00:00:00,2019-05-05 02:30:50,0,Unknown,Point 4,2,0,freebeer,no info
1726944,Niger,13.5314000,2.0413000,2019-03-28 00:00:00,2019-05-05 02:30:11,0,Unknown,Point 2,2,0,freebeer,no info
1726954,Niger,13.5397000,2.0569000,2019-03-28 00:00:00,2019-05-05 02:29:39,0,Unknown,Point 2,2,0,freebeer,no info
1726939,Niger,13.5361000,2.0516000,2019-03-28 00:00:00,2019-05-05 02:29:14,0,Unknown,Point 2,2,0,freebeer,no info
1726953,Niger,13.5447000,2.0540000,2019-03-28 00:00:00,2019-05-05 02:28:40,0,Unknown,Point 2,2,0,freebeer,no info
1726945,Niger,13.5422000,2.0483000,2019-03-28 00:00:00,2019-05-05 02:28:10,0,Unknown,Point 2,2,0,freebeer,no info
1726951,Niger,13.5452000,2.0413000,2019-03-28 00:00:00,2019-05-05 02:27:35,0,Unknown,Point 2,2,0,freebeer,no info
1726940,Niger,13.5387000,2.0441000,2019-03-28 00:00:00,2019-05-05 02:27:10,0,Unknown,Point 2,2,0,freebeer,no info
1726952,Niger,13.5428000,2.0415000,2019-03-28 00:00:00,2019-05-05 02:26:35,0,Unknown,Point 2,2,0,freebeer,no info
1726943,Niger,13.5334000,2.0360000,2019-03-28 00:00:00,2019-05-05 02:26:12,0,Unknown,Point 2,2,0,freebeer,no info
1726941,Niger,13.5381000,2.0396000,2019-03-28 00:00:00,2019-05-05 02:25:47,0,Unknown,Point 2,2,0,freebeer,no info
1726946,Niger,13.5438000,2.0373000,2019-03-28 00:00:00,2019-05-05 02:25:23,0,Unknown,Point 2,2,0,freebeer,no info
1726949,Niger,13.5434000,2.0339000,2019-03-28 00:00:00,2019-05-05 02:24:52,0,Unknown,Point 2,2,0,freebeer,no info
1726942,Niger,13.5377000,2.0324000,2019-03-28 00:00:00,2019-05-05 02:24:30,0,Unknown,Point 2,2,0,freebeer,no info
1726947,Niger,13.5423000,2.0271000,2019-03-28 00:00:00,2019-05-05 02:24:10,0,Unknown,Point 2,2,0,freebeer,no info
1726950,Niger,13.5402000,2.0265000,2019-03-28 00:00:00,2019-05-05 02:18:18,0,Unknown,Point 2,2,0,freebeer,no info
1726948,Niger,13.5465000,2.0325000,2019-03-28 00:00:00,2019-05-05 02:17:42,0,Unknown,Point 2,2,0,freebeer,no info
1727003,Niger,13.5494000,2.0261000,2019-03-28 00:00:00,2019-05-05 02:17:08,0,Unknown,Point 2,2,0,freebeer,no info
1727005,Niger,13.5540000,2.0217000,2019-03-28 00:00:00,2019-05-05 02:16:35,0,Unknown,Point 2,2,0,freebeer,no info
1727001,Niger,13.5522000,2.0253000,2019-03-28 00:00:00,2019-05-05 02:15:21,0,Unknown,Point 2,2,0,freebeer,no info
1726963,Niger,13.5522000,2.0342000,2019-03-28 00:00:00,2019-05-05 02:14:57,0,Unknown,Point 2,2,0,freebeer,no info
1726962,Niger,13.5521000,2.0392000,2019-03-28 00:00:00,2019-05-05 02:14:29,0,Unknown,Point 2,2,0,freebeer,no info
1726958,Niger,13.5523000,2.0435000,2019-03-28 00:00:00,2019-05-05 02:14:05,0,Unknown,Point 2,2,0,freebeer,no info
1726957,Niger,13.5495000,2.0500000,2019-03-28 00:00:00,2019-05-05 02:12:20,0,Unknown,Point 2,2,0,freebeer,no info
1726961,Niger,13.5500000,2.0460000,2019-03-28 00:00:00,2019-05-05 02:11:57,0,Unknown,Point 2,2,0,freebeer,no info
1726956,Niger,13.5532000,2.0477000,2019-03-28 00:00:00,2019-05-05 02:09:09,0,Unknown,Point 2,2,0,freebeer,no info
1726999,Niger,13.5632000,2.0459000,2019-03-28 00:00:00,2019-05-05 02:08:26,0,Unknown,Point 2,2,0,freebeer,no info
1726993,Niger,13.5661000,2.0462000,2019-03-28 00:00:00,2019-05-05 02:07:15,0,Unknown,Point 2,2,0,freebeer,no info
1726996,Niger,13.5642000,2.0429000,2019-03-28 00:00:00,2019-05-05 02:06:49,0,Unknown,Point 2,2,0,freebeer,no info
1726997,Niger,13.5594000,2.0395000,2019-03-28 00:00:00,2019-05-05 02:06:20,0,Unknown,Point 2,2,0,freebeer,no info
1727000,Niger,13.5629000,2.0341000,2019-03-28 00:00:00,2019-05-05 02:05:46,0,Unknown,Point 2,2,0,freebeer,no info
1726995,Niger,13.5666000,2.0395000,2019-03-28 00:00:00,2019-05-05 02:05:17,0,Unknown,Point 2,2,0,freebeer,no info
1726992,Niger,13.5703000,2.0431000,2019-03-28 00:00:00,2019-05-05 02:04:51,0,Unknown,Point 2,2,0,freebeer,no info
1726994,Niger,13.5657000,2.0520000,2019-03-28 00:00:00,2019-05-05 02:04:24,0,Unknown,Point 2,2,0,freebeer,no info
1726990,Niger,13.5693000,2.0532000,2019-03-28 00:00:00,2019-05-05 02:03:55,0,Unknown,Point 2,2,0,freebeer,no info
1726989,Niger,13.5738000,2.0580000,2019-03-28 00:00:00,2019-05-05 02:03:24,0,Unknown,Point 2,2,0,freebeer,no info
1726991,Niger,13.5772000,2.0479000,2019-03-28 00:00:00,2019-05-05 02:02:50,0,Unknown,Point 2,2,0,freebeer,no info
1727008,Niger,13.5862000,2.0306000,2019-03-28 00:00:00,2019-05-05 01:59:18,0,Unknown,Point 2,2,0,freebeer,no info
1727007,Niger,13.5871000,2.0236000,2019-03-28 00:00:00,2019-05-05 01:58:35,0,Unknown,Point 2,2,0,freebeer,no info
1727009,Niger,13.5843000,2.0234000,2019-03-28 00:00:00,2019-05-05 01:58:07,0,Unknown,Point 2,2,0,freebeer,no info
1727006,Niger,13.5893000,2.0297000,2019-03-28 00:00:00,2019-05-05 01:57:28,0,Unknown,Point 2,2,0,freebeer,no info
1727010,Niger,13.5808000,2.0293000,2019-03-28 00:00:00,2019-05-05 01:56:55,0,Unknown,Point 2,2,0,freebeer,no info
1727023,Niger,13.5715000,2.0221000,2019-03-28 00:00:00,2019-05-05 01:56:29,0,Unknown,Point 2,2,0,freebeer,no info
1727015,Niger,13.5747000,2.0059000,2019-03-28 00:00:00,2019-05-05 01:54:59,0,Unknown,Point 2,2,0,freebeer,no info
1727014,Niger,13.5789000,2.0049000,2019-03-28 00:00:00,2019-05-05 01:54:28,0,Unknown,Point 2,2,0,freebeer,no info
1727017,Niger,13.5865000,1.9973000,2019-03-28 00:00:00,2019-05-05 01:53:56,0,Unknown,Point 2,2,0,freebeer,no info
1727018,Niger,13.5827000,1.9989000,2019-03-28 00:00:00,2019-05-05 01:53:21,0,Unknown,Point 2,2,0,freebeer,no info
1727024,Niger,13.5691000,2.0267000,2019-03-28 00:00:00,2019-05-05 01:52:36,0,Unknown,Point 2,2,0,freebeer,no info
1680182,Niger,13.8496052,4.0464871,2019-02-13 00:00:00,2019-05-05 01:51:59,0,Unknown,"Bagagi, Niger",2,0,freebeer,on the map
1671971,Niger,13.6088000,13.0778000,2019-02-05 00:00:00,2019-05-05 01:51:30,0,Unknown,AOG Attack 2/1,2,0,freebeer,not mappable
1671972,Niger,13.6287000,13.2520000,2019-02-05 00:00:00,2019-05-05 01:51:05,0,Unknown,AOG attack 28/1,2,0,freebeer,not mappable
1671975,Niger,13.5563000,13.0627000,2019-02-05 00:00:00,2019-05-05 01:50:28,0,Unknown,AOG Attack 2/1,2,0,freebeer,not mappable
1671977,Niger,13.5588000,12.9845000,2019-02-05 00:00:00,2019-05-05 01:49:39,0,Unknown,Kidnapping AOG? 3/2,2,0,freebeer,not mappable
1749468,Niger,15.4430908,5.8007813,2019-04-18 00:00:00,2019-04-19 06:47:21,0,Unknown,pas de carte (This note has been created from Geovelo : http://amenagements-cyclables.fr/fr/contributions/7232),2,0,simon_geovelo,
1717870,Niger,17.1302917,5.5810547,2019-03-21 00:00:00,2019-03-22 08:25:23,0,Unknown,Ravel (This note has been created from Geovelo : http://amenagements-cyclables.fr/fr/contributions/6696),2,0,monsieur a,
1715310,Niger,21.3303151,14.1613770,2019-03-18 00:00:00,2019-03-19 07:43:20,0,Unknown,text (This note has been created from Geovelo : http://amenagements-cyclables.fr/fr/contributions/6619),2,0,monsieur a,
1711065,Niger,21.3303151,14.1613770,2019-03-15 00:00:00,2019-03-18 08:51:12,0,Unknown,text (This note has been created from Geovelo : http://amenagements-cyclables.fr/fr/contributions/6584),2,0,monsieur a,
1711061,Niger,21.3303151,14.1613770,2019-03-15 00:00:00,2019-03-18 08:51:00,0,Unknown,text (This note has been created from Geovelo : http://amenagements-cyclables.fr/fr/contributions/6583),2,0,monsieur a,
1689573,Niger,15.8133958,4.3066406,2019-02-22 00:00:00,2019-02-25 07:24:42,0,Unknown,mihaud (This note has been created from Geovelo : http://amenagements-cyclables.fr/fr/contributions/6385),2,0,simon_geovelo,
1651192,Niger,18.8439132,6.1962891,2019-01-15 00:00:00,2019-01-16 07:45:46,0,Unknown,gare (This note has been created from Geovelo : http://amenagements-cyclables.fr/fr/contributions/6045),2,0,simon_geovelo,
1649289,Niger,15.6018749,4.9768066,2019-01-13 00:00:00,2019-01-14 07:34:30,0,Unknown,kerkelanden 11 (This note has been created from Geovelo : http://amenagements-cyclables.fr/fr/contributions/6034),2,0,simon_geovelo,
1129321,Niger,13.8889000,5.3441000,2017-09-06 00:00:00,2019-01-10 22:42:28,0,Unknown,le nom de cette localité est TSERNAOUA au lieu de Malbaza'uzine,4,1,freebeer,stalking brasilian spam
1643574,Niger,13.8503357,1.5695912,2019-01-08 00:00:00,2019-01-10 22:05:25,0,Unknown,N  24,2,0,freebeer,brasilian spam
1643588,Niger,13.8988369,5.3462541,2019-01-08 00:00:00,2019-01-10 22:04:15,0,Unknown,N  29,2,0,freebeer,on the map
1005507,Niger,13.4939547,2.1590509,2017-05-24 00:00:00,2019-01-08 13:44:13,0,Abdoul-Aziz Zakou,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. User comments: 'La station est encore devant, 100m environs' (OSM data version: 2017-03-28T20:59:03Z) #mapsme",2,0,freebeer,duplicate
1039949,Niger,13.5521019,2.0563303,2017-06-23 00:00:00,2019-01-08 13:42:01,0,Abdoul-Aziz Zakou,"'la station n'est pas a cet emplacement' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Station Oryx POI types: amenity-fuel OSM data version: 2017-06-09T16:24:09Z  #mapsme",2,0,freebeer,duplicate
1039950,Niger,13.5574603,2.0480101,2017-06-23 00:00:00,2019-01-08 13:39:29,0,Abdoul-Aziz Zakou,"'la station n'est pas a cet emplacement' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Station Morey POI types: amenity-fuel OSM data version: 2017-06-09T16:24:09Z  #mapsme",2,0,freebeer,duplicate
1600219,Niger,13.7849950,9.0047333,2018-11-25 00:00:00,2019-01-08 11:43:44,0,Moustapha Borko,"'Eurreur ' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: ONG APDC Bouladia Nouveau Bureau POI types: office-government OSM data version: 2018-10-30T22:25:02Z  #mapsme",2,0,freebeer,duplicate
1598624,Niger,13.5242049,2.1205504,2018-11-24 00:00:00,2019-01-08 11:34:26,0,Aloy29,"'Cette pharmacie à été déménagée' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Pharmacie du Lako POI types: amenity-pharmacy OSM data version: 2018-10-30T22:25:02Z  #mapsme",2,0,freebeer,duplicate
